epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
79,65796.4,1.19969,0.90479,1.37126,0.78119,0.74673,0.80693,0.46916,1.14542,0.83497,1.21121,0.000473919,0.000473919,0.000473919
80,66628.9,1.19871,0.90601,1.37705,0.78168,0.7458,0.80607,0.46916,1.145,0.83344,1.21043,0.000463579,0.000463579,0.000463579
81,67461.3,1.19936,0.90695,1.3752,0.7836,0.74511,0.80599,0.46917,1.14569,0.83155,1.21149,0.000453258,0.000453258,0.000453258
82,68376.1,1.19367,0.88978,1.37116,0.78518,0.74211,0.80558,0.46926,1.14563,0.82978,1.21173,0.00044296,0.00044296,0.00044296
83,69174.8,1.1836,0.87539,1.35996,0.7853,0.74091,0.80581,0.46966,1.14581,0.8281,1.21236,0.000432689,0.000432689,0.000432689
84,69986.8,1.18552,0.89473,1.36905,0.7899,0.73657,0.80497,0.46956,1.14632,0.8263,1.21287,0.000422449,0.000422449,0.000422449
85,70803.2,1.18606,0.87825,1.36065,0.79151,0.73618,0.80538,0.46977,1.1464,0.82464,1.2132,0.000412246,0.000412246,0.000412246
86,71620.5,1.18099,0.87388,1.3603,0.79035,0.73609,0.8052,0.46963,1.14685,0.82289,1.21391,0.000402084,0.000402084,0.000402084
87,72441.7,1.16921,0.86249,1.35422,0.78979,0.73638,0.80472,0.46966,1.14735,0.82041,1.21473,0.000391966,0.000391966,0.000391966
88,73249.5,1.16981,0.86617,1.35316,0.78871,0.73845,0.80517,0.47009,1.1477,0.81946,1.21515,0.000381899,0.000381899,0.000381899
89,74053.1,1.1571,0.85344,1.34779,0.7923,0.73559,0.80468,0.46983,1.14792,0.81751,1.21572,0.000371885,0.000371885,0.000371885
90,74836.7,1.15687,0.83282,1.34262,0.78881,0.74071,0.80528,0.47007,1.14805,0.81652,1.21613,0.000361929,0.000361929,0.000361929
91,75620,1.14885,0.83754,1.33584,0.78693,0.74224,0.80562,0.47035,1.1477,0.81507,1.21632,0.000352037,0.000352037,0.000352037
92,76403.3,1.1511,0.8409,1.33901,0.78699,0.742,0.80557,0.47033,1.14819,0.81354,1.21709,0.000342211,0.000342211,0.000342211
93,77186.4,1.14312,0.83602,1.33199,0.78679,0.7434,0.80572,0.47048,1.14808,0.81184,1.21769,0.000332457,0.000332457,0.000332457
94,77969.4,1.14949,0.82937,1.33264,0.78654,0.7448,0.80555,0.47017,1.1484,0.80938,1.2181,0.000322778,0.000322778,0.000322778
95,78751.4,1.14557,0.83348,1.33382,0.79141,0.74333,0.80606,0.47014,1.14848,0.8078,1.21827,0.00031318,0.00031318,0.00031318
96,79598.6,1.13313,0.81924,1.32697,0.79205,0.74466,0.8057,0.47033,1.14883,0.80621,1.21859,0.000303665,0.000303665,0.000303665
97,80402,1.13456,0.81931,1.32735,0.79217,0.74283,0.80539,0.47016,1.14935,0.80533,1.21901,0.000294239,0.000294239,0.000294239
98,81204.6,1.12758,0.81235,1.32029,0.78953,0.74492,0.80571,0.47005,1.14953,0.80336,1.21992,0.000284906,0.000284906,0.000284906
